Date,SW_chl_nn,SW_chl_oc4me,MST_chl_nn,MST_chl_oc4me,PK_chl_nn,PK_chl_oc4me
2018-04-28,,,,,,
2018-04-29,2.302527,30.221426,,,0.04265022,
2018-04-30,,,,,,
2018-05-01,,,,,,
2018-05-02,,,,,,
2018-05-03,1.786358,,9.820328,,0.12657915,0.6710759
2018-05-04,,,,,,
2018-05-05,,,,,,
2018-05-06,9.133346,,,,,
2018-05-07,0.6241307,13.610004,9.820328,,0.14112575,0.775825
2018-05-08,,,,,,
2018-05-09,,,,,,
2018-05-10,7.618856,,,,,
2018-05-11,,,,,,
2018-05-12,,,,,,
2018-05-13,,,,,,
2018-05-14,22.611568,15.734407,1.1560912,,0.30221426,0.5398629
2018-05-15,2.065193,2.6619313,1.4901444,,0.14633706,0.80447364
2018-05-16,,,,,,
2018-05-17,,,,,,
2018-05-18,,,,,,
2018-05-19,,,,,,
2018-05-20,,,,,,
2018-05-21,,,,,,
2018-05-22,,,,,,
2018-05-23,,,,,,
2018-05-24,,,,,,
2018-05-25,,,,,,
2018-05-26,1.9207222,,,,,
2018-05-27,,,,,,
2018-05-28,,,,,,
2018-05-29,,,,,,
2018-05-30,,,,,,
2018-05-31,,,,,,
2018-06-01,,,,,,
2018-06-02,,,,,,
2018-06-03,,,,,0.2710634,0.15734407
2018-06-04,,,,,,
2018-06-05,,,,,,
2018-06-06,11.353195,,5.1128306,,0.29145193,0.7481966
2018-06-07,,,5.9108987,30.221426,0.113531955,0.52063745
2018-06-08,,,,,,
2018-06-09,,,,,,
2018-06-10,17.542622,,8.494422,,0.2431234,0.33694503
2018-06-11,,,,,,
2018-06-12,,,,,,
2018-06-13,,,,,,
2018-06-14,,,,,,
2018-06-15,,,,,,
2018-06-16,,,,,,
2018-06-17,,,,,,
2018-06-18,,,,,,
2018-06-19,,,,,,
2018-06-20,,,,,,
2018-06-21,,,,,,
2018-06-22,,,,,,
2018-06-23,,,5.7004023,6.3554983,,
2018-06-24,,,,,,
2018-06-25,,,,,,
2018-06-26,,,,,,
2018-06-27,,,,,,
2018-06-28,,,,,,
2018-06-29,0.29145193,,,,,
2018-06-30,5.7004023,,2.967843,,0.07618856,0.8341801
2018-07-01,,,,,,
2018-07-02,,,,,,
2018-07-03,,,,,,
2018-07-04,11.353195,,,,,
2018-07-05,,,,,,
2018-07-06,,,,,,
2018-07-07,,,,,,
2018-07-08,,,,,0.22611569,0.4503429
2018-07-09,,,,,,
2018-07-10,,,,,,
2018-07-11,,,,,,
2018-07-12,,,,,,
2018-07-13,,,,,,
2018-07-14,,,,,,
2018-07-15,1.4370779,,,,,
2018-07-16,,,1.4370779,27.106339,0.13610004,1.336547
2018-07-17,,,,,,
2018-07-18,,,,,,
2018-07-19,1.6613932,,5.1128306,,0.1312533,
2018-07-20,0.58046967,,1.0752169,,0.1819041,1.0
2018-07-21,,,,,,
2018-07-22,,,,,,
2018-07-23,0.20280871,,2.3875515,,0.101829596,0.33694503
2018-07-24,,,,,,
2018-07-25,,,,,,
2018-07-26,0.32494587,,,,,
2018-07-27,,,,,,
2018-07-28,,,,,,
2018-07-29,,,,,,
2018-07-30,,,,,,
2018-07-31,,,,,0.43430543,0.16315426
2018-08-01,,,,,,
2018-08-02,,,,,,
2018-08-03,,,23.446539,,0.2431234,0.5597982
2018-08-04,0.58046967,,11.77243,,0.1094889,0.313374
2018-08-05,,,,,,
2018-08-06,,,,,,
2018-08-07,,,,,,
2018-08-08,,,,,,
2018-08-09,,,,,,
2018-08-10,,,,,,
2018-08-11,,,,,0.16917899,1.0369266
2018-08-12,0.7481966,,2.3875515,,0.12657915,1.0369266
2018-08-13,,,,,,
2018-08-14,,,,,,
2018-08-15,,,,,,
2018-08-16,,,,,0.1819041,0.30221426
2018-08-17,,,,,,
2018-08-18,,,,,,
2018-08-19,2.065193,7.9001946,,,0.1312533,0.52063745
2018-08-20,,,,,,
2018-08-21,,,,,,
2018-08-22,,,,,,
2018-08-23,,,,,,
2018-08-24,,,,,,
2018-08-25,,,,,,
2018-08-26,,,,,,
2018-08-27,,,,,0.29145193,0.46697253
2018-08-28,,,,,,
2018-08-29,,,,,,
2018-08-30,2.3875515,,5.3016305,,0.2710634,
